STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/1/2023,3.8,0,69,46,1,1,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/2/2023,4.7,0,69,45,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/3/2023,10.96,0,71,52,1,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/4/2023,7.38,0,65,56,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/5/2023,2.91,0,67,45,1,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/6/2023,4.03,0,53,37,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/7/2023,2.46,0,54,31,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/8/2023,3.58,0.23,40,26,1,0,0,0,0,1,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/9/2023,4.7,0,56,31,1,1,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/10/2023,2.24,0,48,28,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/11/2023,2.91,0.04,46,26,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/12/2023,2.46,0.25,53,37,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/13/2023,8.05,0.02,54,40,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/14/2023,7.83,0,43,33,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/15/2023,5.37,0,49,31,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/16/2023,2.24,0,62,29,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/17/2023,6.49,0.13,55,41,1,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/18/2023,6.71,0,68,45,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/19/2023,2.46,0.03,48,40,1,1,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/20/2023,8.5,0,55,41,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/21/2023,1.57,0,50,32,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/22/2023,2.24,0.15,41,30,1,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/23/2023,4.92,0.04,50,35,1,1,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/24/2023,4.25,0,54,29,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/25/2023,5.82,0.57,39,33,1,1,0,1,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/26/2023,5.82,0,50,38,1,1,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/27/2023,4.25,0,46,31,0,0,0,0,0,0,0,0
